N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"80,100",600,+0.75%,100,"4,781,796","5,969,783",53.72,"20,804,622",19.23,9.99,
2,SK하이닉스,"122,500",0,0.00%,"5,000","891,803","728,002",48.95,"4,008,980",18.75,9.53,
3,LG화학,"894,000","9,000",-1.00%,"5,000","631,096","70,592",45.70,"225,985",38.92,2.93,
4,삼성전자우,"73,000",200,-0.27%,100,"600,707","822,887",76.79,"1,446,136",17.53,N/A,
5,NAVER,"360,000","9,000",+2.56%,100,"591,348","164,263",56.56,"615,672",59.05,15.22,
6,삼성바이오로직스,"861,000","30,000",-3.37%,"2,500","569,681","66,165",10.27,"218,567",214.71,N/A,
7,카카오,"117,000","3,500",+3.08%,100,"519,313","443,857",32.69,"3,006,475",329.58,2.70,
8,현대차,"227,500","3,000",+1.34%,"5,000","486,095","213,668",29.89,"1,326,253",44.23,2.04,
9,삼성SDI,"643,000","7,000",+1.10%,"5,000","442,156","68,765",42.40,"298,379",62.98,4.54,
10,셀트리온,"268,500","1,500",-0.56%,"1,000","370,306","137,917",20.59,"445,565",61.60,16.68,
11,기아,"82,700","2,400",+2.99%,"5,000","335,235","405,363",32.45,"4,710,677",14.86,5.05,
12,POSCO,"360,000","5,000",-1.37%,"5,000","313,873","87,187",54.70,"621,101",19.59,3.61,
13,현대모비스,"280,000","2,000",+0.72%,"5,000","265,421","94,793",37.12,"431,420",17.41,4.66,
14,SK이노베이션,"280,000","2,000",+0.72%,"5,000","258,904","92,466",22.57,"1,164,226",-26.48,-13.58,
15,삼성물산,"137,500","1,500",-1.08%,100,"256,970","186,887",14.84,"360,484",16.38,3.81,
16,LG전자,"149,500",0,0.00%,"5,000","244,653","163,648",30.37,"678,715",13.73,13.23,
17,LG생활건강,"1,507,000","10,000",-0.66%,"5,000","235,366","15,618",45.64,"30,809",33.48,17.92,
18,KB금융,"56,300","1,700",-2.93%,"5,000","234,100","415,808",69.28,"1,709,658",6.78,8.53,
19,SK텔레콤,"309,500","3,500",+1.14%,500,"223,026","72,060",44.71,"386,566",16.61,6.44,
20,LG,"126,500",0,0.00%,"5,000","218,285","172,557",34.67,0,15.18,7.50,
21,신한지주,"40,300",700,-1.71%,"5,000","208,190","516,600",60.67,"1,364,819",5.98,8.20,
22,SK,"269,500",500,-0.19%,200,"189,621","70,360",20.68,"131,885",100.94,1.11,
23,엔씨소프트,"853,000","31,000",+3.77%,500,"187,268","21,954",52.24,"130,578",31.88,20.83,
24,삼성생명,"83,700","1,200",-1.41%,500,"167,400","200,000",13.16,"435,689",13.22,3.53,
25,아모레퍼시픽,"283,500","6,500",-2.24%,500,"165,730","58,458",34.08,"234,375",556.97,0.78,
26,HMM,"46,100",50,+0.11%,"5,000","159,226","345,392",11.56,"11,841,889",120.05,8.93,
27,한국전력,"23,650",50,-0.21%,"5,000","151,824","641,964",16.15,"2,536,641",7.39,2.91,
28,삼성에스디에스,"180,000","1,000",-0.55%,500,"139,280","77,378",11.48,"92,388",31.41,6.71,
29,하나금융지주,"44,700","1,400",-3.04%,"5,000","134,208","300,242",69.01,"1,633,893",5.09,8.96,
30,삼성전기,"168,000","1,500",+0.90%,"5,000","125,485","74,694",31.65,"799,832",18.49,10.92,
31,SK바이오사이언스,"161,500",0,0.00%,500,"123,548","76,500",3.02,"350,988",125.49,13.25,
32,넷마블,"135,000","1,000",-0.74%,100,"116,037","85,954",23.67,"258,181",37.02,6.35,
33,포스코케미칼,"147,500",500,+0.34%,500,"114,258","77,463",7.74,"246,062",319.96,2.96,
34,KT&G,"82,500",300,-0.36%,"5,000","113,266","137,292",39.64,"378,515",9.67,13.22,
35,S-Oil,"94,000","2,600",-2.69%,"2,500","105,828","112,583",76.47,"682,047",-13.77,-13.07,
36,대한항공,"29,550",250,-0.84%,"5,000","102,781","347,821",10.66,"2,353,094",12.63,-7.22,
